List_UI,Level_0,Level_1,Level_2
"Almonds, in shell",OrcGra,,
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Other,,
Apples,VegFru,,
Apricots,VegFru,,
Barley,VegFru,,
Cantaloupes and other melons,VegFru,,
Figs,VegFru,,
Grapes,VegFru,,
Linseed,Other,,
Maize (corn),Corn,,
Millet,Wheat,,
Mustard seed,Other,,
Olives,OrcGra,,
"Onions and shallots, dry (excluding dehydrated)",VegFru,,
Oranges,VegFru,,
Other berries and fruits of the genus vaccinium n.e.c.,VegFru,,
"Other citrus fruit, n.e.c.",VegFru,,
"Other fruits, n.e.c.",VegFru,,
"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",Crops,,
Other pulses n.e.c.,Crops,,
"Other stimulant, spice and aromatic crops, n.e.c.",Crops,,
Other stone fruits,Crops,,
"Other vegetables, fresh n.e.c.",Crops,,
Peaches and nectarines,Crops,,
Pears,Crops,,
"Pistachios, in shell",Crops,,
Plums and sloes,Crops,,
Potatoes,Crops,,
Rice,Rice,,
"Seed cotton, unginned",Crops,,
Sesame seed,Crops,,
Sugar beet,Crops,,
Sugar cane,Crops,,
Sunflower seed,Crops,,
"Walnuts, in shell",Crops,,
Watermelons,Crops,,
Wheat,Crops,,
"Beans, dry",Crops,,
"Broad beans and horse beans, dry",Crops,,
"Broad beans and horse beans, green",Crops,,
Cabbages,Crops,,
Carrots and turnips,Crops,,
Cauliflowers and broccoli,Crops,,
Cherries,Crops,,
"Chestnuts, in shell",Crops,,
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Crops,,
Cucumbers and gherkins,Crops,,
Dates,Crops,,
Eggplants (aubergines),Crops,,
Green garlic,Crops,,
Hop cones,Crops,,
Leeks and other alliaceous vegetables,Crops,,
Lemons and limes,Crops,,
Lettuce and chicory,Crops,,
Oats,Crops,,
Okra,Crops,,
"Onions and shallots, green",Crops,,
"Other beans, green",Crops,,
"Peas, green",Crops,,
"Pumpkins, squash and gourds",Crops,,
Quinces,Crops,,
Rye,Crops,,
Sour cherries,Crops,,
Soya beans,Crops,,
Spinach,Crops,,
Strawberries,Crops,,
"Tangerines, mandarins, clementines",Crops,,
Tomatoes,Crops,,
Unmanufactured tobacco,Crops,,
Vetches,Crops,,
Artichokes,Crops,,
Bananas,Crops,,
"Chick peas, dry",Crops,,
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Crops,,
"Groundnuts, excluding shelled",Crops,,
"Lentils, dry",Crops,,
Locust beans (carobs),Crops,,
"Peas, dry",Crops,,
Pomelos and grapefruits,Crops,,
Rape or colza seed,Crops,,
Sorghum,Crops,,
Triticale,Crops,,
Avocados,Crops,,
"Cashew nuts, in shell",Crops,,
"Cassava, fresh",Crops,,
Castor oil seeds,Crops,,
Cocoa beans,Crops,,
"Coffee, green",Crops,,
"Kenaf, and other textile bast fibres, raw or retted",Crops,,
"Mangoes, guavas and mangosteens",Crops,,
Oil palm fruit,Crops,,
Pineapples,Crops,,
"Sisal, raw",Crops,,
Sweet potatoes,Crops,,
"Other tropical fruits, n.e.c.",Crops,,
Taro,Crops,,
Yams,Crops,,
Asparagus,Crops,,
Canary seed,Crops,,
Cereals n.e.c.,Crops,,
"Flax, raw or retted",Crops,,
Lupins,Crops,,
Mat̩ leaves,Crops,,
"Other fibre crops, raw, n.e.c.",Crops,,
Papayas,Crops,,
"Peppermint, spearmint",Crops,,
Safflower seed,Crops,,
String beans,Crops,,
Tea leaves,Crops,,
Tung nuts,Crops,,
"Hazelnuts, in shell",Crops,,
Currants,Crops,,
Green corn (maize),Corn,,
Hempseed,Crops,,
Kiwi fruit,Crops,,
Persimmons,Crops,,
Raspberries,Crops,,
"True hemp, raw or retted",Crops,,
Mixed grain,Crops,,
"Other oil seeds, n.e.c.",Crops,,
Cranberries,Crops,,
"Coconuts, in shell",Crops,,
"Pigeon peas, dry",Crops,,
Plantains and cooking bananas,Crops,,
Areca nuts,Crops,,
"Ginger, raw",Crops,,
"Jute, raw or retted",Crops,,
Natural rubber in primary forms,Crops,,
Other sugar crops n.e.c.,Crops,,
Buckwheat,Crops,,
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Crops,,
Yautia,Crops,,
Fonio,Crops,,
Karite nuts (sheanuts),Crops,,
Kola nuts,Crops,,
"Pepper (Piper spp.), raw",Crops,,
"Nutmeg, mace, cardamoms, raw",Crops,,
Quinoa,Crops,,
Chicory roots,Crops,,
"Cow peas, dry",Crops,,
Cashewapple,Crops,,
Other pome fruits,Crops,,
"Bambara beans, dry",Crops,,
Melonseed,Crops,,
"Cinnamon and cinnamon-tree flowers, raw",Crops,,
"Cloves (whole stems), raw",Crops,,
"Ramie, raw or retted",Crops,,
Tallowtree seeds,Crops,,
"Vanilla, raw",Crops,,
"Agave fibres, raw, n.e.c.",Crops,,
"Abaca, manila hemp, raw",Crops,,
"Pyrethrum, dried flowers",Crops,,
Kapok fruit,Crops,,
Gooseberries,Crops,,
Jojoba seeds,Crops,,
Poppy seed,Crops,,
